,Star_name,Distance,Mass,Radius
84,DENIS-P J1058.7−1548,49.0,0.061093632,0.0010852013439089467
85,TWA 28,180.0,0.034365168,0.002593631211942383
86,Cha 110913-773444,163.0,0.007636704,0.001953362419036104
87,SDSS J111010.01+011613.1,63.0,0.008591292,0.001345649666447094
88,2MASS J11145133−2618235,18.2,0.031501404000000004,0.0010417932901525889
89,TWA 26,137.0,0.028637640000000002,0.0023874429565996827
90,2MASS J11544223-3400390 [de],129.0,0.035319756,0.0016278020158634202
91,2MASSW J1155395-372735 [de],31.0,0.061093632,0.0010852013439089467
92,2MASS J12074836-3900043,217.0,0.016227996,0.001855694298084299
93,2MASSI J1217110-031113 [de],36.0,0.040092696000000004,0.0010200892632744097
94,2M 1237+6526,45.6,0.039138108,0.0010200892632744097
95,TWA 29,262.0,0.0238647,0.0021704026878178934
96,SDSSp J125453.90-012247.4 [de],38.0,0.044865636,0.0010634973170307678
97,Kelu-1A,61.0,0.060139044,0.0010634973170307678
98,Kelu-1B,61.0,0.055366104,0.0010634973170307678
99,2MASS J13204427+0409045,101.0,0.063957396,0.0010960533573480362
100,SDSSp J132629.82-003831.5 [de],65.0,0.048683988000000004,0.0010526453035916783
101,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.0010200892632744097
102,2MASS J13595510-4034582,51.0,0.060139044,0.0010852013439089467
103,ULAS J141623.94+134836.3,29.7,0.030546816,0.0010417932901525889
104,SDSS J141659.78+500626.4 [de],149.0,0.056320692,0.0010743493304698573
105,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002,0.0014324657739598098
106,LHS 2924,38.5,0.072548688,0.0011503134245434837
107,2MASS J14392837+1929150,47.0,0.068730336,0.0011177573842262151
108,LSPM J1440+1339,72.0,0.087822096,0.0012913895992516466
109,2MASS J14482563+1031590 [de],47.0,0.056320692,0.0010743493304698573
110,CFBDSIR 1458+10A,104.0,0.0105959268,0.0016278020158634202
111,CFBDSIR 1458+10B,104.0,0.008591292,0.0014107617470816307
112,TVLM 513-46546,35.1,0.07159410000000001,0.0011394614111043943
113,2MASS 1503+2525,20.7,0.042001872,0.0010200892632744097
114,CFBDS J150411+102717,71.0,0.042001872,0.0010200892632744097
115,2MASSW J1506544+132106 [de],46.0,0.065866572,0.0011069053707871259
116,2MASS 1507−1627,23.9,0.057275280000000005,0.0010743493304698573
117,TVLM 868-110639,53.0,0.075412452,0.0011720174514216627
118,2MASSW J1515008+484742 [de],34.0,0.054411516,0.0010743493304698573
119,2MASSI J1526140+204341 [de],67.0,0.051547752,0.0010634973170307678
120,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044,0.0010852013439089467
121,2MASS J15462718-3325111 [de],37.0,0.042001872,0.0010200892632744097
122,2MASSW J1552591+294849 [de],68.0,0.028637640000000002,0.0015518379217897937
123,2MASSW J1555157-095605 [de],44.0,0.067775748,0.0011177573842262151
124,2MASS J16150413+1340079 [de],48.0,0.040092696000000004,0.0010200892632744097
125,SDSSp J162414.37+002915.6 [de],36.0,0.041047284,0.0010200892632744097
126,2MASS J16262034+3925190 [de],110.0,0.067775748,0.0011177573842262151
127,2MASSW J1632291+190441 [de],50.0,0.046774812,0.0010526453035916783
128,WISEPA J164715.59+563208.2,28.0,0.039138108,0.0010200892632744097
129,LSPM J1658+7027 [de],60.0,0.069684924,0.0011286093976653048
130,2MASSI J1726000+153819,114.0,0.022910112,0.0015192818814725253
131,SDSSp J175032.96+175903.9,90.0,0.044865636,0.0010526453035916783
132,2MASS J18283572-4849046,39.0,0.04295646,0.0010309412767134994
133,LSR J1835+3259,18.5,0.073503276,0.0011611654379825732
134,2MASSW J1841086+311727,138.0,0.063957396,0.0010960533573480362
135,2MASS J18432213+4040209,46.0,0.091640448,0.0013239456395689152
136,2MASS J20004841-7523070,105.0,0.0238647,0.0020401785265488194
137,SDSS J204749.61-071818.3,65.0,0.043911048,0.0010417932901525889
138,2MASSI J2057540-025230,47.0,0.06682116,0.0011069053707871259
139,2MASSI J2104149-103736,62.0,0.065866572,0.0011069053707871259
140,PSO J318.5−22,80.0,0.0062048220000000005,0.0016603580561806886
